ST_FIPS,mean,tot_41,State,Latitude,Longitude,City,latminus,longminus
1,1.7514232742793086,5266,AL,32.6010112,-86.6807365,Alabama,22.601011200000002,-86.6807365
4,1.3266903720066487,3398,AZ,34.1682185,-111.930907,Arizona,24.168218500000002,-111.930907
5,1.5075408027729926,3084,AR,34.7519275,-92.1313784,Arkansas,24.7519275,-92.1313784
6,1.4887350742389112,27954,CA,37.2718745,-119.2704153,California,27.271874500000003,-119.2704153
8,1.5287361530966503,2864,CO,38.9979339,-105.550567,Colorado,28.9979339,-105.550567
9,1.8218340633972285,2038,CT,41.5187835,-72.757507,Connecticut,31.518783499999998,-72.757507
10,1.6387181807757807,708,DE,39.145251,-75.4189206,Delaware,29.145251000000002,-75.4189206
11,1.8289925492580814,1058,DC,38.8993487,-77.0145666,District of Columbia,28.899348699999997,-77.0145666
12,1.527811880397737,21003,FL,27.9757279,-83.8330166,Florida,17.9757279,-80.8330166
13,1.4481412077303644,11518,GA,32.6781248,-83.2229757,Georgia,22.6781248,-83.2229757
16,1.5806282948384192,1460,ID,45.4945756,-114.1424303,Idaho,35.4945756,-114.1424303
17,1.7476253007552423,8185,IL,39.739318,-89.504139,Illinois,29.739317999999997,-89.504139
18,1.7822686617857633,6070,IN,39.7662195,-86.441277,Indiana,29.7662195,-86.441277
19,1.8047743057201069,1288,IA,41.9383166,-93.389798,Iowa,31.9383166,-93.389798
20,1.6685963148015093,1648,KS,38.4987789,-98.3200779,Kansas,28.498778899999998,-98.3200779
21,1.8335220817265903,5021,KY,37.8222935,-85.7682399,Kentucky,27.8222935,-85.7682399
22,1.7782997473549698,5620,LA,30.9733766,-91.4299097,Louisiana,20.9733766,-91.4299097
23,1.580823199636836,764,ME,45.2185133,-69.0148656,Maine,35.2185133,-69.0148656
24,1.427084516506582,2379,MD,38.8063524,-77.2684162,Maryland,28.8063524,-77.2684162
25,1.5577580586105457,4454,MA,42.0629398,-71.718067,Massachusetts,32.0629398,-71.718067
26,1.8244280089703353,7114,MI,44.9435598,-86.4158049,Michigan,34.9435598,-86.4158049
27,1.670785668698113,1999,MN,46.4418595,-93.3655146,Minnesota,36.4418595,-93.3655146
28,1.6384380295100014,2111,MS,32.5851062,-89.8772196,Mississippi,22.5851062,-89.8772196
29,1.8692465143677994,3676,MO,38.3046615,-92.437099,Missouri,28.3046615,-92.437099
30,1.500933849112374,764,MT,46.6797995,-110.044783,Montana,36.6797995,-110.044783
31,1.9756882473685953,1269,NE,41.5008195,-99.680902,Nebraska,31.5008195,-99.680902
32,1.3715641044126001,1376,NV,38.502032,-117.0230604,Nevada,28.502032,-117.0230604
33,1.5907546625902498,1432,NH,44.0012306,-71.5799231,New Hampshire,34.0012306,-71.5799231
34,1.805438629524131,6263,NJ,40.1430058,-74.7311156,New Jersey,30.143005799999997,-74.7311156
35,1.811578329147104,1271,NM,34.1662325,-106.0260685,New Mexico,24.1662325,-106.0260685
36,1.6518166194022967,23578,NY,40.7056258,-73.97968,New York,30.7056258,-73.97968
37,1.541766058690162,8625,NC,35.2145629,-79.8912675,North Carolina,25.214562899999997,-79.8912675
38,1.6945510333755014,285,ND,47.4678819,-100.3022655,North Dakota,37.4678819,-100.3022655
39,2.1775442421298434,8463,OH,40.1903624,-82.6692525,Ohio,30.190362399999998,-82.6692525
40,1.6849527509469873,3380,OK,35.3097654,-98.7165585,Oklahoma,25.309765400000003,-98.7165585
41,1.4337736081852994,1532,OR,44.1419049,-120.5380993,Oregon,34.1419049,-120.5380993
42,2.1064838555884067,9648,PA,40.9945928,-77.6046984,Pennsylvania,30.9945928,-77.6046984
44,1.921647217133351,1303,RI,41.5827282,-71.5064508,Rhode Island,31.5827282,-71.5064508
45,1.6434694736128057,3872,SC,33.62505,-80.9470381,South Carolina,23.62505,-80.9470381
46,2.109731500092726,340,SD,44.2126995,-100.2471641,South Dakota,34.2126995,-100.2471641
47,1.5388310956534117,5971,TN,35.830521,-85.9785989,Tennessee,25.830520999999997,-85.9785989
48,1.5950457257822013,21622,TX,31.1693363,-100.0768425,Texas,21.1693363,-100.0768425
49,1.359080291424259,3821,UT,39.4997605,-111.547028,Utah,29.4997605,-111.547028
50,1.886248027842187,412,VT,43.8717545,-72.4477828,Vermont,33.8717545,-72.4477828
51,1.5387282013018946,5449,VA,38.0033855,-79.4587861,Virginia,28.0033855,-79.4587861
53,1.393390049541221,3315,WA,38.8993487,-77.0145665,Washington,28.899348699999997,-77.0145665
54,1.615241967337897,2179,WV,38.9201705,-80.1816905,West Virginia,28.920170499999998,-80.1816905
55,1.9322569119745643,2640,WI,44.7862968,-89.8267049,Wisconsin,34.7862968,-89.8267049
56,1.4243656422420148,81,WY,43.000325,-107.5545669,Wyoming,33.000325,-107.5545669
