ST_FIPS,Party,State,Latitude,Longitude,City,latminus,longminus,Party_cat
1,5,AL,32.6010112,-86.6807365,Alabama,22.601011200000002,-86.6807365,five
4,3,AZ,34.1682185,-111.930907,Arizona,24.168218500000002,-111.930907,three
5,4,AR,34.7519275,-92.1313784,Arkansas,24.7519275,-92.1313784,four
6,1,CA,37.2718745,-119.2704153,California,27.271874500000003,-119.2704153,one
8,2,CO,38.9979339,-105.550567,Colorado,28.9979339,-105.550567,two
9,1,CT,41.5187835,-72.757507,Connecticut,31.518783499999998,-72.757507,one
10,1,DE,39.145251,-75.4189206,Delaware,29.145251000000002,-75.4189206,one
11,1,DC,38.8993487,-77.0145666,District of Columbia,28.899348699999997,-77.0145666,one
12,3,FL,27.9757279,-83.8330166,Florida,17.9757279,-80.8330166,three
13,3,GA,32.6781248,-83.2229757,Georgia,22.6781248,-83.2229757,three
16,5,ID,45.4945756,-114.1424303,Idaho,35.4945756,-114.1424303,five
17,1,IL,39.739318,-89.504139,Illinois,29.739317999999997,-89.504139,one
18,3,IN,39.7662195,-86.441277,Indiana,29.7662195,-86.441277,three
19,3,IA,41.9383166,-93.389798,Iowa,31.9383166,-93.389798,three
20,5,KS,38.4987789,-98.3200779,Kansas,28.498778899999998,-98.3200779,five
21,3,KY,37.8222935,-85.7682399,Kentucky,27.8222935,-85.7682399,three
22,3,LA,30.9733766,-91.4299097,Louisiana,20.9733766,-91.4299097,three
23,2,ME,45.2185133,-69.0148656,Maine,35.2185133,-69.0148656,two
24,1,MD,38.8063524,-77.2684162,Maryland,28.8063524,-77.2684162,one
25,1,MA,42.0629398,-71.718067,Massachusetts,32.0629398,-71.718067,one
26,2,MI,44.9435598,-86.4158049,Michigan,34.9435598,-86.4158049,two
27,1,MN,46.4418595,-93.3655146,Minnesota,36.4418595,-93.3655146,one
28,4,MS,32.5851062,-89.8772196,Mississippi,22.5851062,-89.8772196,four
29,4,MO,38.3046615,-92.437099,Missouri,28.3046615,-92.437099,four
30,5,MT,46.6797995,-110.044783,Montana,36.6797995,-110.044783,five
31,5,NE,41.5008195,-99.680902,Nebraska,31.5008195,-99.680902,five
32,3,NV,38.502032,-117.0230604,Nevada,28.502032,-117.0230604,three
33,3,NH,44.0012306,-71.5799231,New Hampshire,34.0012306,-71.5799231,three
34,1,NJ,40.1430058,-74.7311156,New Jersey,30.143005799999997,-74.7311156,one
35,1,NM,34.1662325,-106.0260685,New Mexico,24.1662325,-106.0260685,one
36,1,NY,40.7056258,-73.97968,New York,30.7056258,-73.97968,one
37,3,NC,35.2145629,-79.8912675,North Carolina,25.214562899999997,-79.8912675,three
38,5,ND,47.4678819,-100.3022655,North Dakota,37.4678819,-100.3022655,five
39,3,OH,40.1903624,-82.6692525,Ohio,30.190362399999998,-82.6692525,three
40,5,OK,35.3097654,-98.7165585,Oklahoma,25.309765400000003,-98.7165585,five
41,1,OR,44.1419049,-120.5380993,Oregon,34.1419049,-120.5380993,one
42,3,PA,40.9945928,-77.6046984,Pennsylvania,30.9945928,-77.6046984,three
44,1,RI,41.5827282,-71.5064508,Rhode Island,31.5827282,-71.5064508,one
45,5,SC,33.62505,-80.9470381,South Carolina,23.62505,-80.9470381,five
46,5,SD,44.2126995,-100.2471641,South Dakota,34.2126995,-100.2471641,five
47,5,TN,35.830521,-85.9785989,Tennessee,25.830520999999997,-85.9785989,five
48,3,TX,31.1693363,-100.0768425,Texas,21.1693363,-100.0768425,three
49,5,UT,39.4997605,-111.547028,Utah,29.4997605,-111.547028,five
50,1,VT,43.8717545,-72.4477828,Vermont,33.8717545,-72.4477828,one
51,2,VA,38.0033855,-79.4587861,Virginia,28.0033855,-79.4587861,two
53,1,WA,38.8993487,-77.0145665,Washington,28.899348699999997,-77.0145665,one
54,3,WV,38.9201705,-80.1816905,West Virginia,28.920170499999998,-80.1816905,three
55,3,WI,44.7862968,-89.8267049,Wisconsin,34.7862968,-89.8267049,three
56,5,WY,43.000325,-107.5545669,Wyoming,33.000325,-107.5545669,five
